"full_name","company_name","job_title"
"Matt Walters","Runway Incubator","Managing Director"
"Joe Vasquez","Runway Incubator","Partnerships"
"Jay Reinemann","BBVA","Executive Director"
"Manuel Silva","BBVA","Vice President"
"Bill Clerico","We Pay","Co-Founder & CEO"
"Matt Mason","BitTorrent Inc","CCO"
"Jay Simons","Atlassian","President"
"Farhad Jarral","capital tv","TV Producer"
"Amit Misra","Dazeinfo","Founder"
"Jyoti Bansal","AppDynamics","Founder & CEO"
"Richard Frankel","Rocket Fuel","President"
"Kim Last","Fast Company","Senior Events Editor"
"Ajay Chopra","Trinity Ventures","General Partner"
"Elle Toussi","Various","Freelance Journalist"
"Ambarish Mitra","Blippar","Founder/CEO"
"Allan Davidson","Sound Bytes","Executive Producer"
"Jan Ziff","Sound Bytes","President"
"Ngan Le","Action.vn","Co Founder"
"Rania Kumra","Mavin","Co Founder"
"Elisabeth Osmeloski","Third Door Media","VP, Audience Development"
"Roman Stanek","GoodData","Founder/CEO"
"David Rosenthal","FoundationDB","Founder"
"Cathryn Posey","Tech SuperWomen","Founder"
"Alex Jacobson","137 Ventures","Co-founder & Managing Partner"
"Ben Uretsky","DigitalOcean","Co-Founder and CEO"
"Marcos Col’on","SC Magazine","Digital Content Coordinator"
"Alex Weaver","BostInno","Managing Editor"
"Joel Espelien","The Diffusion Group","Senior Analyst"
"Richard Taylor","BBC/British Broadcasting Corporation","North America Technology Correspondent"
"Yves Eudes","Le Monde","Tech Writer"
"Jeff Frick","theCUBE","General Manager"
"Travis Wright","Venture Catalyst, Inc.","Chief Marketing Technologist"
"Anthony Gallippi","Bitpay","Co-Founder"
"Brian Foster","Damballa","CTO"
"Lisa Falzone","Revel Systems","Co-Founder, CEO"
"Jeremy Kaplan","Digital Trends","Editor in Chief"
"Ross Rubin","CNET","Contributing Writer"
"Richard Mintzer","you","Freelance Writer"
"Steve Greenberg","NBC","Technology Contributor"
"Aaron Jacobson","New Enterprise Associates","Senior Associate"
"John Battelle","NewCo","Founder & CEO"
"Rick Prostko","Comcast Ventures","Principal"
"Gavin Teo","Comcast Ventures","Investment Director"
"Geoffrey Ossias","DLA Piper","Partner"
"Fred von","Arizona State University","Sr. Venture Manager"
"Olga Kharif","Business Week","Senior Writer"
"Scott Ertz","F5 Live: Refreshing Technology","Host"
"Clifford Grossner","Infonetics Research","Directing Analyst, Datacenter & Cloud"
"Louis Columbus","A Passion for Research","Blogger"
"Coraline Ehmke","Senior Software Engineer","Instructure, Inc."
"Jared Hyatt","Norwest Venture Partners","Senior Associate"
"Andre Mancl","RBC Capital Markets","Director"
"Ramon Ray","Smallbiztechnology.com","Editor"
"Nick Hayes","Forrester Research","Analyst"
"Sasha Horne","TomoNews","Reporter"
"Vak Sambeth","Techzulu","Co Founder"
"Mandy Balak","Branded Magazine","CEO & Founder"
"Kerri Miller","Living Social","Lead Software Engineer"
"Elise Worthy","Brandworthy","CEO"
"Brian Goldsmith","Seedrs","Co-Head"
"Dave Jakubowski","Facebook","Head of Ad Tech"
"Ajay Arora","Veradocs","CEO & Co Founder"
"Nellie Bowles","Re/code","Associate Editor, Tech Culture"
"Jacob Krol","NJTechReviews","Blogger"
"Debra Bass","St. Louis Post-Dispatch","Fashion Editor"
"Rachel Rothman","Good Housekeeping Research Institute","Consumer Electronics & Engineering Director"
"Rita O'Neal","So You Think You Can Mom?","Blogger"
"Rob Leclerc","AgFunder","Private Investor, Advisor"
"Jens Francis","angelMD","Investor"
"Pamela Pavliscak","Change Sciences","Founder"
"Aphrodite Brinsmead","Ovum","Senior Analyst"
"Robert Westervelt","CRN","Senior Editor"
"Ralph Gammon","Document Imaging Report","Publisher & Editor"
"Mike Cassidy","BloomReach","Storyteller"
"Ben Parr","DominateFund","Co-founder"
"Serena Saitto","Businessweek",""
"Melany Wynn","Melany's Guydlines","CEO, Publisher, Blogger"
"Ari Levy","CNBC Online","Senior Technology Reporter"
"David English","English, David","Freelance Writer"
"Santiago Rodriguez","fusion.net","International Editor"
"Nancy Stone","RealcommEDGE Magazine","Managing Editor"
"Jeff Kell","105 Converstations","Founder & Executive Producer"
"Thomas Hague","Vanguard","Co-Founder & Editor-In-Chief"
"Sudarshana Banerjee","Tech Taffy","Editor"
"Ursala Dvorsek","Ursala Media","CEO"
"Michael Asante","artistry-ent.com","Writer"
"Jason Cipriani","Cipriani, Jason","Freelance Writer"
"Ryan Smith","Red Bull eSports","Senior Editor"
"Rob Sabin","Sound & Vision","Editor"
"Mary Wisniewski","American Banker","Technology Reporter"
"Alyssa Newcomb","ABC News","Technology Editor"
"Sara Jo","Jewliebots","CEO"
"Ryan Darnell","Basset Investment Group","Principal"
"Josh Cohen","City Light Capital","Partner"
"Peter Harris","University Venture Fund","Principal"
"Mike Brennan","MITechNews.com","Publisher & Editor"
"Mark Yarm","Wired","Freelance Writer"
"Matthias Hohensee","WirtschaftsWoche","Silicon Valley Correspondent"
"Gio Collela","Castlight Health","CEO"
"Gregory Borchardt","Caerus Ventures","Managing Director"
"Anamitra Banerji","Foundation Capital","Partner"
"Mary Catherine","Internet of Things Journal","Editor"
"Caroline Howard","Forbes","Senior Online Editor"
"Flavia Barbat","Branding Magazine","Editor-in-Chief"
"Deb Steenhagen","Traveling Mom Blog","Technology Editor"
"Zach Ferres","Ciplex","CEO"
"Ariel Jaduszliwer","Brainstorm Ventures","General Partner"
"Adam Ghetti","Ionic Security","Founder"
"Sarah McBride","Thomson Reuters","Reporter"
"Joel Burslem","1000watt Blog","Blogger"
"Jason Kay","Kay2 Ventures","Founder"
"Karen Bedrosian Coyne","Bedrosian Trust","COO"
"Val Babajov","VoiVoda Ventures","Managing Partner"
"Eric Martineau","White Star Capital","Partner"
"Preetish Nijhawan","Cervin Ventures","Managing Partner"
"Neeraj Gupta","Cervin Ventures","Managing Director"
"Danny Razore","OG Investments LLC","Entrepreneur"
"Johannes Kraft","March Ventures","Director"
"Andy Hunt","Highland Capital Partners","Partner"
"Ben Dahl","Pelion Venture Partners","Partner"
"Chad Packard","Pelion Venture Partners","Partner"
"Meg Sloan","Foundation Capital","VP Marketing"
"Charlie Kemper","ER Accelerator","Managing Director"
"Bert Navarrete","Tigerlabs","Co-Founder & Managing Partner"
"Bernard Moon","SparkLabs Global Ventures","Co-founder & General Partner"
"Net Jacobsson","SparkLabs Global Ventures","Co-Founder & General Partner"
"Adam Kaufman","Seedrs","Co-Head"
"Sam Perry","Ascendance Ventures","President"
"Dave Chidester","REES Capital","Partner"
"Adam Casto","REES Capital","Partner"
"Angad Singh","Long Ridge Equity Partners","Vice President"
"Gregg Stebben","Men's Health","Contributing Editor"
"Liza Benson","Starvest Partners","Venture Partner"
"Todd Breeden","Starvest Partners","Vice President"
"Will Bunker","San Diego Band of Angels","Investor"
"Caitlin Roper","WIRED Magazine","Senior Editor"
"Camille Tuutti","nextgov","Executive Editor"
"Jeremiah Owyang","Web Strategist","Founder"
"Tamas Barok","Ringier-Axel-Springer","Production Manager"
"Michael Specter","The New Yorker","Staff Writer"
"Curt Nickisch","WBUR-FM","Business & Technology Reporter"
"Frank Ohlhorst","Olhhorst.net","Freelance Writer"
"Jonathan Woods","TIME Magazine","Senior Editor, Multimedia"
"Angela Diegel","Tech Times","President & Editorial Director"
"Richard Williams","stupidDOPE","Author"
"Robert Vamosi","Vamosi, Robert","Freelance Writer"
"Christopher Casgar","Catterton Partners","Principal"
"Paul Armstrong","WIRED","Freelance Journalist"
"Jishnu Bhattacharjee","Nexus Venture Partners","Investor"
"Andrea Di Camillo","P101","Managing Partner"
"Matthew Leibowitz","Plazacorp Ventures","Partner"
"Vonnie Quinn","Bloomberg Radio","Reporter"
"Alaia Williams","At the Helm","Host & Producer"
"Philippe Niewbourg","Decideo","Community Manager"
"Dan Gardner","Code and Theory","Co-Founder, Creative Director, UX"
"Tom Kaneshige","CIO","Senior Writer"
"Audrey Kelly","Fade In Online","Web Site Editor in Chief"
"Kim Beasley","business2community","Contributing Writer"
"Jennifer Follett","CRN.com","Executive Editor, Online"
"Itai Vonshak","Pebble","head of product and UX design"
"Will Stewart","Rogers Venture Partners","General Partner"
"Alejandro Diez","Dila Capital","Managing Partner"
"Sumeet Gajri","Insight Venture Partners","Venture Capitalist"
"Trey Engle","University Venture Fund","Associate"
"Evan Armstrong","University Venture Fund","Associate"
"Crystal Huang","GGV Capital","Vice President"
"Tobin Arthur","angelMD","Founder & CEO"
"Philip Moyer","Safeguard Scientifics","Managing Director"
"Garrett Goldberg","Bee Partners","Principal"
"Richard Li","4k","Co-Founder"
"Stephen Brown","Digital Afro","Founder"
"Evan Hiner","Tech Kings","Blogger"
"Phil Baumann","Phil Baumann","Blogger"
"Brendan Kennedy","Privateer Holdings","CEO"
"Adam Singolda","Taboola","Founder/CEO"
"Juan Benitez","Braintree","CTO"
"Tom Bedecarre","AKQA","Chairman"
"Laurie Segall","CNNMoney","Technology Correspondent"
"Derrick Harris","Gigaom","Senior Writer"
"Alex Kantrowitz","Advertising Age","Reporter"
"Rachael King","The Southified Masshole","Blogger"
"Iain Shovlin","Techweek",null
"Jennifer Zanich","Bullpen Capital","Advisor"
"David York","Top Tier Capital Partners","CEO & Managing Director"
"Krishna Subramanian","Velti","founder"
"Darragh O'Flaherty","Guggenheim Partners","Analyst"
"Deborah Quazzo","Global Silicon Valley Advisors","Founder and Managing Partner"
"Ted Rupp","steelhouse","SVP Corporate Development"
"Ilan Marcel","Effective Capital","Founding Partner"
"Jonathan Zisermann","Fundimmo","Founder"
"Leslie Pfrang","Class V Group, LLC","Principal"
"Dennis Rapoport","Comerica Bank"," ‎Senior Vice President "
"Steve Vassallo","Foundation Capital","General Partner"
"Alan Chang","Capricorn Investment Group","Investor"
"Juan Leung Li","Javelin Venture Partners","VC Investor"
"David Smith","MarketLink International","Other"
"Dino Vendetti","Seven Peaks Ventures","VC"
"Adam Freeman","Elmspring Accelerator","CFO"
"Jean Francois","White Star Capital","Partner"
"Michael Dean","AgFunder","Co-Founder"
"John STRUMBOS","AgFunder","Private Investor"
"Rodolfo Gonzalez","Foundation Capital","Associate"
"Paul Jozefak","Liquid Labs","Managing Director"
"Michael Backes","Liquid Labs","Managing Director"
"Reisa Jiang","United Enterpirse Investment","Managing Director"
"Wynn Sanders","Cambridge Street Ventures","Founder"
"Rajeev Dham","Sapphire Ventures","Vice President"
"Michael Berolzheimer","Bee Partners","Founder & CEO"
"Tony Rimas","Fraser McCombs Capital","Managing Partner"
"James Holmes","Caerus Ventures","Managing Director"
"David Gold","Access Venture Partners","Managing Director"
"Zaw Ther","Signia Venture Partners","Partner"
"Henry Guy","Basset Investment Group","Managing Partner"
"Dave Leyrer","Boulevard Management","General Partner"
"Phillip Kingston","Trimantium Capital","Managing Director"
"Daniel Knowles","The Economist","Reporter"
"Carly Schwartz","The Huffington Post","Deputy National Editor"
"Maggie Coughlan","Page Six","Editor"
"Dave Lewis","CSO Online","security type, blogger/podcaster, breaker"
"Emily Crume","Social Media Examiner","Director, Strategy"
"Bob Lederer","RFL Communications","Editor & Publisher"
"Matt Rockman","Square Peg Capital","Partner"
"Tom Egan","LaunchCapital","Principal"
"Yuval Neeman","Trilogy Equity Partners","Managing Director"
"Sunita R","Comerica","Managing Director"
"Michael Farello","Catterton Partners","Senior Partner"
"Ramona Pierson","Declara","CEO"
"Phil Hellmuth","World Series of Poker","Professional Poker Player "
"Chris Klundt","Studyblue","Founder"
"Katie Benner","Bloomberg","Columnist"
"Nuno Machado","tudomudou.com","Founder"
"Jeff Bercovici","Inc Magazine","Bureau Chief "
"Michael McMahon","Jump Capital","Managing Partner"
"Devdutt Yellurkar","Charles River Ventures","Partner"
"Myrna Yoo","LBx Journal","Publisher & Managing Editor"
"Cole Brodman","Trilogy Equity Partners","Partner"
"Kristina Yee","Gigaom","Analyst"
"Mekahlo Medina","KNBC-TV","Social Media & Technology Editor/Reporter"
"Danielle Turner","Fox Business","Senior Producer "
"Erin McEwan","Fox Business","Guest Booker"
"Maria Zamudio","The Chicago Reporter","Investigative Reporter"
"Aaron Whitfield","Pocket Full of Apps","Editor"
"Jason Bloomberg","Forbes","Contributor"
"Keisha Howard","Sugargamers","Founder"
"Magne Antonsen","VG","Journalist"
"Andrew Kunesh","Macgasm","Gadget Editor"
"Kunbi Tinuoye","UrbanGeekz","Founder"
"Neha Narkheda","Confluent","Co-founder and Head of Engineering"
"John Simons","International Business Times","Business Editor"
"Michelle Dennedy","Intel","Chief Privacy Officer of Intel Security"
"Aaron Shapiro","Huge Inc","CEO"
"Chip Hazard","Flybridge Capital Partners","General Partner"
"Mike McGee","Starter League","Co-Founder"
"Jaidev Shergill","Capital One Financial","Head of Capital One Ventures"
"Oleg Koujikov","Maxfield Capital","Managing Partner"
"Garrett Vygantas","Jump Capital","Partner"
"Ryan Edwards","Silicon Valley Bank","Director "
"Ross Hinkle","Handmade Capital","Director "
"Jason Mok","Silicon Valley Bank","Director, Accelerator"
"Sergey Shenderov","Angel Investor",null
"Ann Haller","You Effect",null
"Erik Torenberg","ProductHunt",null
"Kelly Lovell","You Effect",null
"Peggy Reitzel","You Effect",null
"Shawn Chung","Hong Kong Economic Times",null
"Susan Cooney","tech cocktail",null
"Salma Khalifa","Metro-zone",null
"Alana Calmi","Horyou",null
"John Daly","Informed Not Inflamed",null
"ToniMarie Illuzzi","Horyou",null
"Shelly Kapoor","Freelance Journalist",null
"Eraina Davis","The Good Life U",null
"Krista Whitley","Creating Genius","Freelance Contributor"
"James Tovar","Drones X",null
"Valerio Marone","Menteultima","Chief Administrative Officer"
"Dan Greenberg","Sharethrough",null
"Stuart Soffer","Freelance Journalist",null
"Rajath Goud","Indian News",null
"Hamza Mikou","MikouNET",null
"Rita Guerra","Freelance Journalist",null
"Francine Hardaway","Stealthmode",null
"Eva Blaisdell","WPROST",null
"Stefano Mongardi","Wiman",null
"Meredith Perry","Ubeam","CEO"
"Carolina castilla","Bogota Music Link",null
"Ahmed Bassam","The MENA Tech",null
"Stephanie Urbanski","whatchado",null
"Josef Willkommer","E Startegy Magazin",null
"Matt Gardner","Tech Nation",null
"Tony Hsieh","Zappos","CEO"
"Chris Anderson","3D Robotics","CEO"
"Dilawar Syed","Freshdesk","President"
"Dan Siroker","Optimizely","CEO"
"Matt Jones","CrowdSurge","CEO"
"Larry Wall","The Wall Nuthouse","Language Designer"
"Brent Cromley","Zappos","CTO"
"Tariq  Shaukat ","Caesars Entertainment","EVP & CCO"
"Eric  Ladizinsky","D-Wave Systems","Co-Founder and Chief Scientist"
"Samy Kamkar"," Computer Hacker",""
"Josh Tetrick","Hampton Creek","CEO & Founder"
"Andrew  Keen","The Internet Is Not The Answer","Author"
"Taavet Hinrikus","TransferWise","Co-founder"
"Fred George","Outpace Systems","Co-Founder & Developer"
"Abhishek Agrawal","Vulcan Capital","Managing Director"
"Josh Elman","Greylock Partners","Partner "
"Pravin Kothari","Ciphercloud","CEO"
"Chris Satchell","Nike","CTO"
"Dan Harden","Whipshaw","President & CEO"
"Brendan Conlon","Vahna","CEO"
"Charles Phillips","Infor","CEO"
"Paula Long","DataGravity","Co-Founder & CEO"
